,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index,logic_coupling_index,has_hard_fork,total_forks (not a metric),total_hard_forks (not a metric),pre_communication
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,TRUE,TRUE,48.81034483,33.21170401,0.00450294,2887,13,0.0444214876,0.08701078138,0.0004657984061,TRUE,1056,21,0.32
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,TRUE,TRUE,63.66666667,44.60871908,0,2146,0,0.2163667524,0.1164343054,0.003767884742,TRUE,814,15,0
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,TRUE,TRUE,113.6176471,43.75942807,0.00302954,3961,12,0.08141009384,0.04644979597,0.002102784063,TRUE,508,1,0.01
20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,TRUE,TRUE,6.365384615,25.81226327,0.008,250,2,0.05135951662,0.0817985597,0.00159504404,TRUE,425,12,0.01
21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,TRUE,TRUE,1.611111111,24.91767355,0,56,0,0.05172413793,0.09057780337,0.02028194862,FALSE,32,0,0.01639344262
22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,TRUE,TRUE,1.388888889,33.5515994,0,25,0,0.04,0.1719747462,0.03083005275,FALSE,12,0,0.08
23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,TRUE,TRUE,142.4473684,35.81502685,0,10630,0,0.6163713547,0.06426411094,0.005059160979,TRUE,6572,41,0.04
24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,TRUE,TRUE,2.836734694,48.37305204,0,131,0,0.04316546763,0.1045943595,0.004610635001,FALSE,72,0,0.06
25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,TRUE,TRUE,7.666666667,30.19133104,0.00645161,310,2,0.3819875776,0.1158212052,0.005133996066,TRUE,58,11,0.31
26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,TRUE,TRUE,1.507936508,33.72282204,0,82,0,0.02105263158,0.05195135385,0.008749637591,FALSE,43,0,0.01052631579
27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,TRUE,TRUE,6.65625,24.27151444,0.0031348,638,2,0.1345852895,0.01277190803,0.01696110073,TRUE,355,3,0.04
28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,TRUE,TRUE,79.18072289,43.93002394,0.00025,6566,,0.0494106981,0.08727442606,0.000498880192,TRUE,778,16,0.02
29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,TRUE,TRUE,0.7142857143,21.55542258,0,37,0,0.1555555556,0.03807557352,0.002612688353,FALSE,36,0,0.02222222222
30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,TRUE,TRUE,9.581818182,26.13674169,0,522,0,0.01489757914,0.08126797241,0.001066994973,TRUE,216,2,0.07
31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,TRUE,TRUE,5.35,75.2455857,0.00325733,307,1,0.02492211838,0.2109779216,0.004563436222,TRUE,78,7,0.07
32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,TRUE,TRUE,3.846153846,54.39683841,0,183,0,0.025,0.05104386554,0.001689144961,TRUE,66,4,0.01
33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,TRUE,TRUE,1.4,44.77275798,0,71,0,0.0119047619,0.1112066909,0.04010851096,TRUE,102,3,0
34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,TRUE,TRUE,2.978723404,47.40095485,0,137,0,0.03546099291,0.1135078482,0.01018011562,TRUE,26,3,0.15
35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,TRUE,TRUE,112.9130435,23.22532469,0.00075,7969,,0.5423320659,0.08908882567,0.0003332029346,TRUE,5021,20,0.08
36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,TRUE,TRUE,10.94736842,77.65334026,0.00121065,826,1,0.01923076923,0.07874352855,0.00483696523,TRUE,697,10,0.01
37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,TRUE,TRUE,2.982142857,760.9789678,0,161,0,0.02994011976,0.0655508712,0.006367676768,TRUE,206,4,0.02
38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,TRUE,TRUE,127.2533333,280.0010621,0.0005,9556,,0.511453561,0.05458852754,0.001522305241,TRUE,7947,36,0.02
39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,TRUE,TRUE,0.8983050847,28.9916988,0,53,0,0.03773584906,0.1179060353,0.02120184334,FALSE,34,0,0.07547169811
40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,TRUE,TRUE,0.5333333333,30.09635198,0,6,0,0,0.08218320224,0.02423964457,FALSE,10,0,0
41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,TRUE,TRUE,1.690909091,39.72642444,0,90,0,0,0.06911882109,0.00342877272,FALSE,50,0,0.01075268817
42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,TRUE,TRUE,2.811594203,24.08374965,0,181,0,0.0412371134,0.1164413272,0.009797580437,TRUE,216,5,0.01
43,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,TRUE,TRUE,2.769230769,51.32264082,0,72,0,0.04166666667,0.2168982342,0.005770415264,FALSE,22,0,0.01388888889
44,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,TRUE,TRUE,7.766666667,40.62048336,0,232,0,0.235042735,0.07817791815,0.01104332733,TRUE,51,1,0.02
45,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,TRUE,TRUE,1,42.65438739,0,1,0,0,0.08518852473,0.008903603858,FALSE,33,0,0
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,TRUE,TRUE,128.3793103,33.65691939,0.00125,7429,,0.133902374,0.06664561964,0.0006625935536,TRUE,2155,30,0.05
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,TRUE,FALSE,0,44.87573758,0,0,0,0,0.2196687371,0.01909792896,FALSE,2,0,0
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,TRUE,TRUE,47.01960784,79.26750523,0,2382,0,0.09174311927,0.03562287561,0.005576814059,TRUE,1832,15,0.05
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,TRUE,TRUE,0.04761904762,36.74569032,0,0,0,0,0.09403178698,0.007262678886,TRUE,26,1,0
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,TRUE,TRUE,16.59375,35.46878943,0.00190718,1573,3,0.3437695679,0.0382386359,0.001200880544,TRUE,380,10,0.25
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,TRUE,TRUE,0.2352941176,58.06331362,0,12,0,0,0.1255543727,0.001930287454,FALSE,23,0,0
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,TRUE,TRUE,5.736,33.85033923,0,680,0,0.01388888889,0.08616277448,0.004713590171,TRUE,1278,9,0.22
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,TRUE,TRUE,3.226190476,96.10721135,0,228,0,0.0147601476,0.09050918138,0.005478486528,TRUE,110,4,0.03
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,TRUE,TRUE,182.1538462,25.8163947,0,14309,,0.3291457286,0.04687034269,0.0003763183196,TRUE,9348,3,0
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,TRUE,TRUE,0.1818181818,21.36812593,0,6,0,0.3333333333,0.04404141638,0.00214894071,FALSE,28,0,0
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,TRUE,TRUE,32.97,49.68697387,0,3238,0,0.06789936344,0.05541544898,0.0006371742112,TRUE,1298,7,0.24
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,TRUE,TRUE,15.59615385,13.33268195,0,806,0,0.2281134402,0.06244324611,0.002382004481,TRUE,174,3,0.04
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,TRUE,TRUE,2.419354839,41.40403554,0,224,0,0.2422907489,0.08351748039,0.02397683339,TRUE,53,2,0.02
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,TRUE,TRUE,11.22222222,29.17123972,0.00496689,604,3,0.1650165017,0.03413258542,0.001903756389,TRUE,179,4,0.16
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,TRUE,TRUE,0.2173913043,40.17801954,0,10,0,0.1,0.08679446122,0.001473177172,TRUE,72,2,0
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,TRUE,TRUE,1.153846154,28.47078404,0,125,0,0.1333333333,0.09492293305,0.002965478695,TRUE,148,1,0
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,TRUE,TRUE,0.253968254,126.6529757,0,11,0,0.0625,0.1229207562,0.0006683179733,TRUE,103,1,0
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,TRUE,TRUE,3.020833333,32.94937895,0,93,0,0.02684563758,0.07230222355,0.0004493607788,TRUE,595,11,0
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,TRUE,TRUE,0.9594594595,31.90324367,0.01515152,66,1,0.0985915493,0.0644623022,0.001926515435,TRUE,230,4,0.08450704225
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,TRUE,TRUE,234,36.63310137,0.00125,15903,,0,0.04885840197,0.001183182982,TRUE,3181,8,0.02
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,TRUE,TRUE,0.1379310345,26.59546832,0,8,0,0.125,0.05905632198,0.001722717731,FALSE,26,0,0
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,TRUE,TRUE,22.53278689,76.538141,0.00366166,2731,10,0.01654676259,0.1153533391,0.0003934400594,TRUE,3416,20,0.48
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,TRUE,TRUE,8.815217391,52.86774388,0,641,0,0.02080783354,0.1216510566,0.00106521112,TRUE,340,10,0
69,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,TRUE,TRUE,0.7462686567,81.9401889,0,46,0,0.04,0.04449472097,0.06074586697,FALSE,64,0,0
70,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,TRUE,TRUE,0.4392523364,16.66925327,0,46,0,0.06382978723,0.02700118718,0.002869222865,FALSE,68,0,0
71,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,TRUE,TRUE,29.90804598,39.43116545,0.00125104,2398,3,0.01339456563,0.04844406798,0.001298962577,TRUE,1430,27,0.04
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,TRUE,TRUE,66.79365079,46.73632836,0.0031816,4086,13,0.1922071751,0.06549531742,0.0008795082501,TRUE,669,12,0.1
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,TRUE,TRUE,10.925,23.47365126,0,853,0,0.009009009009,0.02470054353,0.001387186948,TRUE,2818,5,0.02
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,TRUE,TRUE,5.441860465,30.27843596,0,438,0,0.004273504274,0.06436350317,0.0006471261839,FALSE,112,0,0.01
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,TRUE,TRUE,3.458333333,40.15154939,0,247,0,0.04347826087,0.05101742637,0.002071567915,TRUE,65,4,0.04
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,TRUE,FALSE,0,44.04622343,0,0,0,0,0.08152444326,0.0008738804164,FALSE,7,0,0
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,TRUE,TRUE,0.2040816327,38.17910067,0,7,0,0,0.1141206506,0.00149238719,FALSE,43,0,0
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,TRUE,TRUE,0.1826086957,40.0862792,0,17,0,0,0.1049230841,0.004023490736,FALSE,26,0,0
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,TRUE,FALSE,0,43.58814664,0,0,0,0,0.07457804742,0.001558185404,FALSE,9,0,0
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,TRUE,TRUE,46.10204082,45.23653741,0.00045065,4438,2,0.3250992501,0.04115865601,0.003321700418,TRUE,823,21,0.13
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,TRUE,TRUE,0.9102564103,29.69700853,0,58,0,0.2112676056,0.07545058018,0.008429344827,TRUE,36,2,0.02777777778
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,TRUE,TRUE,0.5,26.16428571,0,17,0,0,0.3928571429,0.1275510204,FALSE,44,0,0.05555555556
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,TRUE,TRUE,17.66412214,32.36278246,0.00086768,2305,2,0.191461837,0.04328216222,0.004869319108,TRUE,873,7,0.04
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,TRUE,TRUE,0.3529411765,40.14760434,0,26,0,0.1,0.1177113127,0.0007279135599,TRUE,83,1,0
85,ctakes,1,https://github.com/apache/cTAKES,https://github.com/apache/cTAKES,TRUE,TRUE,0.2857142857,815.473736,0,0,0,0.5,0.1734216816,0.001956012268,FALSE,51,0,0
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,TRUE,TRUE,4.395604396,26.82474427,0,353,0,0.0349127182,0.05604896915,0.004762779928,TRUE,1092,5,0.05
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,TRUE,TRUE,9.538461538,22.97253933,0.00238664,838,2,0.03103448276,0.06896167016,0.001433088613,TRUE,1277,8,0.03
