 ,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,frequency,dimensionality,prs_found
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,True,0.23529411764705882,58.06331362,True
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,True,5.736,33.85033923,True
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,True,3.2261904761904763,96.10721135,True
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,True,182.15384615384616,25.8163947,True
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,True,0.18181818181818182,21.36812593,True
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,True,32.97,49.68697387,True
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,True,15.596153846153847,13.33268195,True
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,True,2.4193548387096775,41.40403554,True
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,True,11.222222222222221,29.17123972,True
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,True,0.21739130434782608,40.17801954,True
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,True,1.1538461538461537,28.47078404,True
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,True,0.25396825396825395,126.6529757,True
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,True,3.0208333333333335,32.94937895,True
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,True,0.9594594594594594,31.90324367,True
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,True,234.0,36.63310137,True
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,True,0.13793103448275862,26.59546832,True
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,True,22.5327868852459,76.538141,True
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,True,8.815217391304348,52.86774388,True
69,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,True,0.746268656716418,81.9401889,True
70,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,True,0.4392523364485981,16.66925327,True
71,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,True,29.908045977011493,39.43116545,True
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,True,66.7936507936508,46.73632836,True
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,True,10.925,23.47365126,True
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,True,5.441860465116279,30.27843596,True
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,True,3.4583333333333335,40.15154939,True
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,True,0.0,44.04622343,False
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,True,0.20408163265306123,38.17910067,True
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,True,0.1826086956521739,40.0862792,True
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,True,0.0,43.58814664,False
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,True,46.10204081632653,45.23653741,True
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,True,0.9102564102564102,29.69700853,True
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,True,0.5,26.16428571,True
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,True,17.66412213740458,32.36278246,True
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,True,0.35294117647058826,40.14760434,True
85,ctakes,1,https://github.com/apache/cTAKES,https://github.com/apache/cTAKES,False,0.2857142857142857,815.473736,True
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,True,4.395604395604396,26.82474427,True
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,True,9.538461538461538,22.97253933,True
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,True,0.10465116279069768,31.69649765,True
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,True,0.30434782608695654,36.20455785,True
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,True,1.3181818181818181,25.53620896,True
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,True,0.1346153846153846,79.35480747,True
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,True,0.0,82.4607684,False
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,True,0.0425531914893617,41.74418716,True
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,True,0.0,50.29979522,False
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,True,4.794871794871795,34.65712539,True
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,True,21.850467289719628,43.47667286,True
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,True,39.42342342342342,25.09072558,True
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,True,18.962264150943398,96.49568898,True
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,True,0.2727272727272727,37.85788879,True
