,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,True
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,True
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,True
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,True
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,True
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,True
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,True
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,True
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,True
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,True
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,True
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,True
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,True
85,ctakes,1,https://github.com/apache/cTAKES,https://github.com/apache/cTAKES,False
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,True
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,True
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,True
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,True
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,True
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,True
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,True
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,True
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,True
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,True
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,True
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,True
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,True
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,True
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,True
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,True
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,True
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,True
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,True
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,True
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,True
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,True
108,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,True
109,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,True
110,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,True
111,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,True
112,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,True
113,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,True
114,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,True
115,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,True
116,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,True
117,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,True
118,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,True
119,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,True
120,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,True
121,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,True
122,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,True
123,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,True
124,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,True
125,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,True
126,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,True
127,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,True
128,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,True
129,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,True
130,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,True
131,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,True
132,jaxme,1,https://github.com/apache/JaxMe,https://github.com/apache/JaxMe,False
133,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,True
134,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,True
135,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,True
136,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,True
137,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,True
138,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,True
139,juddi,1,https://github.com/apache/jUDDI,https://github.com/apache/jUDDI,True
140,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,True
141,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,True
142,knox,1,https://github.com/apache/Knox,https://github.com/apache/Knox,True
143,kudu,1,https://github.com/apache/Kudu,https://github.com/apache/Kudu,True
144,kylin,1,https://github.com/apache/Kylin,https://github.com/apache/Kylin,True
