Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,ratio_of_duplicate_prs,total_prs,duplicate_prs
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-Amaterasu,https://api.github.com/repos/apache/incubator-Amaterasu,TRUE,0,4,0
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,https://api.github.com/repos/apache/incubator-Annotator,TRUE,0,2,0
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,https://api.github.com/repos/apache/incubator-BatchEE,TRUE,0,6,0
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,https://api.github.com/repos/apache/incubator-BRPC,TRUE,0,75,0
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,https://api.github.com/repos/apache/incubator-Crail,TRUE,0,2,0
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,https://api.github.com/repos/apache/incubator-Daffodil,TRUE,0,10,0
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,https://api.github.com/repos/apache/incubator-DataSketches,TRUE,0,0,0
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,https://api.github.com/repos/apache/incubator-DLab,TRUE,0,9,0
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,https://api.github.com/repos/apache/incubator-DolphinScheduler,TRUE,0,73,0
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,https://api.github.com/repos/apache/incubator-Doris,TRUE,0.145454545,110,16
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,https://api.github.com/repos/apache/incubator-Druid,TRUE,0.069767442,172,12
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,https://api.github.com/repos/apache/incubator-ECharts,TRUE,0.078125,64,5
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,https://api.github.com/repos/apache/incubator-Edgent,TRUE,0,5,0
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,https://api.github.com/repos/apache/incubator-Flagon,TRUE,0,1,0
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,https://api.github.com/repos/apache/incubator-Gobblin,TRUE,0.16,100,16
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,https://api.github.com/repos/apache/incubator-Heron,TRUE,0.025641026,39,1
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,https://api.github.com/repos/apache/incubator-Hivemall,TRUE,0,7,0
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,https://api.github.com/repos/apache/incubator-Hudi,TRUE,0.198630137,146,29
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,https://api.github.com/repos/apache/incubator-Iceberg,TRUE,0.113207547,212,24
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,https://api.github.com/repos/apache/incubator-IoTDB,TRUE,0.1875,48,9
20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,https://api.github.com/repos/apache/incubator-Livy,TRUE,0.061728395,81,5
21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,https://api.github.com/repos/apache/incubator-marvin,TRUE,0,3,0
22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,https://api.github.com/repos/apache/incubator-Milagro,TRUE,0,0,0
23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,https://api.github.com/repos/apache/incubator-MXNet,TRUE,0.023041475,217,5
24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,https://api.github.com/repos/apache/incubator-Myriad,TRUE,0,8,0
25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,https://api.github.com/repos/apache/incubator-Nemo,TRUE,0,12,0
26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,https://api.github.com/repos/apache/incubator-Omid,TRUE,0,13,0
27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,https://api.github.com/repos/apache/incubator-pagespeed-ngx,TRUE,0,1,0
28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,https://api.github.com/repos/apache/incubator-Pinot,TRUE,0.104651163,86,9
29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,https://api.github.com/repos/apache/incubator-PonyMail,TRUE,0,8,0
30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,https://api.github.com/repos/apache/incubator-Ratis,TRUE,0,23,0
31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,https://api.github.com/repos/apache/incubator-Rya,TRUE,0,14,0
32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,https://api.github.com/repos/apache/incubator-S2Graph,TRUE,0,17,0
33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,https://api.github.com/repos/apache/incubator-SAMOA,TRUE,0,13,0
34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,https://api.github.com/repos/apache/incubator-sdap-nexus,TRUE,0,5,0
35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,https://api.github.com/repos/apache/incubator-ShardingSphere,TRUE,0,16,0
36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,https://api.github.com/repos/apache/incubator-SINGA,TRUE,0,21,0
37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,https://api.github.com/repos/apache/incubator-Spot,TRUE,0,6,0
38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,https://api.github.com/repos/apache/incubator-Superset,TRUE,0,127,0
39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,https://api.github.com/repos/apache/incubator-Tamaya,TRUE,0,0,0
40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,https://api.github.com/repos/apache/incubator-taverna-workbench,TRUE,0,2,0
41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,https://api.github.com/repos/apache/incubator-Tephra,TRUE,0,3,0
42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,https://api.github.com/repos/apache/incubator-Toree,TRUE,0,13,0
43,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,https://api.github.com/repos/apache/incubator-Training,TRUE,0,0,0
44,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,https://api.github.com/repos/apache/incubator-Tuweni,TRUE,0,3,0
45,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,https://api.github.com/repos/apache/Bloodhound,TRUE,0,0,0
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,https://api.github.com/repos/apache/incubator-TVM,TRUE,0.088888889,135,12
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,https://api.github.com/repos/apache/incubator-warble-server,TRUE,0,0,0
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,https://api.github.com/repos/apache/incubator-Weex,TRUE,0,16,0
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,https://api.github.com/repos/apache/Abdera,TRUE,0,4,0
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,https://api.github.com/repos/apache/Accumulo,TRUE,0,30,0
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,https://api.github.com/repos/apache/ACE,TRUE,0,4,0
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,https://api.github.com/repos/apache/ActiveMQ,TRUE,0,41,0
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,https://api.github.com/repos/apache/Airavata,TRUE,0.069767442,43,3
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,https://api.github.com/repos/apache/Airflow,TRUE,0.019354839,155,3
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,https://api.github.com/repos/apache/Allura,TRUE,0,0,0
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,https://api.github.com/repos/apache/Ambari,TRUE,0,61,0
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,https://api.github.com/repos/amberframework/amber,TRUE,0,5,0
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,https://api.github.com/repos/apache/Any23,TRUE,0,4,0
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,https://api.github.com/repos/apache/apex-core,TRUE,0,2,0
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,https://api.github.com/repos/apache/activemq-apollo,TRUE,0,0,0
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,https://api.github.com/repos/apache/Aries,TRUE,0,10,0
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,https://api.github.com/repos/apache/AsterixDB,TRUE,0,5,0
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,https://api.github.com/repos/apache/Atlas,TRUE,0,56,0
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,https://api.github.com/repos/apache/Aurora,TRUE,0,5,0
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,https://api.github.com/repos/apache/Beam,TRUE,0.097297297,185,18
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,https://api.github.com/repos/apache/bval,TRUE,0,0,0
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,https://api.github.com/repos/apache/hive,TRUE,0.02247191,89,2
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,https://api.github.com/repos/apache/Bigtop,TRUE,0.016759777,179,3
69,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,https://api.github.com/repos/apache/Brooklyn,TRUE,0,4,0
70,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,https://api.github.com/repos/apache/Buildr,TRUE,0,1,0
71,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,https://api.github.com/repos/apache/Calcite,TRUE,0.046296296,216,10
